Date : 2026-05-23 21:15:30
Directory : /home/dev/TFG/src
Total : 157 files,  14719 codes, 1139 comments, 1764 blanks, all 17622 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/dev/TFG/src/shared/components/loaders/FullScreenLoader.tsx                | TypeScript JSX |         16 |          3 |          3 |         22 |
| /home/dev/TFG/src/shared/components/loaders/HomeSkeleton.tsx                    | TypeScript JSX |         88 |          7 |          9 |        104 |
| /home/dev/TFG/src/shared/components/loaders/index.ts                            | TypeScript     |          4 |          3 |          2 |          9 |
| /home/dev/TFG/src/shared/components/map/LocationPicker.tsx                      | TypeScript JSX |         99 |          1 |         12 |        112 |
| /home/dev/TFG/src/shared/hooks/use-mobile.tsx                                   | TypeScript JSX |         15 |          0 |          5 |         20 |
| /home/dev/TFG/src/shared/lib/cn.ts                                              | TypeScript     |          5 |          0 |          2 |          7 |
| /home/dev/TFG/src/shared/lib/index.ts                                           | TypeScript     |          3 |          5 |          3 |         11 |
| /home/dev/TFG/src/shared/lib/logger.ts                                          | TypeScript     |          6 |          0 |          2 |          8 |
| /home/dev/TFG/src/shared/lib/sql/add_vehicle_info_to_bookings.sql               | MS SQL         |          5 |          2 |          2 |          9 |
| /home/dev/TFG/src/shared/lib/sql/auto_owner_trigger.sql                         | MS SQL         |         20 |         14 |          7 |         41 |
| /home/dev/TFG/src/shared/lib/sql/fix_booking_overlap_final.sql                  | MS SQL         |         43 |         11 |          7 |         61 |
| /home/dev/TFG/src/shared/lib/sql/fix_garages_rls.sql                            | MS SQL         |         27 |         10 |          6 |         43 |
| /home/dev/TFG/src/shared/lib/sql/garage_counters.sql                            | MS SQL         |         16 |          2 |          2 |         20 |
| /home/dev/TFG/src/shared/lib/sql/price_history_policy.sql                       | MS SQL         |         20 |          2 |          2 |         24 |
| /home/dev/TFG/src/shared/lib/sql/user_visibility_policy.sql                     | MS SQL         |         30 |          7 |          5 |         42 |
| /home/dev/TFG/src/shared/lib/supabase.ts                                        | TypeScript     |         37 |         18 |         10 |         65 |
| /home/dev/TFG/src/shared/lib/time-utils.ts                                      | TypeScript     |         46 |         13 |          9 |         68 |
| /home/dev/TFG/src/shared/services/geocoding.service.ts                          | TypeScript     |         70 |          0 |          9 |         79 |
| /home/dev/TFG/src/shared/types/database.types.ts                                | TypeScript     |        216 |         15 |         35 |        266 |
| /home/dev/TFG/src/styles/globals.css                                            | PostCSS        |        217 |         10 |         28 |        255 |
| /home/dev/TFG/src/types/database.types.ts                                       | TypeScript     |        696 |          0 |          8 |        704 |
| /home/dev/TFG/src/ui/RangeSlider.tsx                                            | TypeScript JSX |        144 |         13 |         20 |        177 |
| /home/dev/TFG/src/ui/address-search.tsx                                         | TypeScript JSX |         97 |          2 |         14 |        113 |
| /home/dev/TFG/src/ui/avatar.tsx                                                 | TypeScript JSX |         47 |          0 |          7 |         54 |
| /home/dev/TFG/src/ui/badge.tsx                                                  | TypeScript JSX |         44 |          1 |          8 |         53 |
| /home/dev/TFG/src/ui/booking-card-skeleton.tsx                                  | TypeScript JSX |         59 |          6 |          7 |         72 |
